"name","STRAIN","segment","avg_coverage","above_cutoff","SegmentSize","percent_above","segment_count","quality"
"1787_d02","H9N2","H9N2_MP",12074.5702647658,982,982,100,8,"good"
"1787_d02","H9N2","H9N2_PB2",4776.00635964912,2280,2280,100,8,"good"
"1787_d02","H9N2","H9N2_HA",10730.4919786096,1683,1683,100,8,"good"
"1787_d02","H9N2","H9N2_PA",5651.81194793119,2151,2151,100,8,"good"
"1787_d02","H9N2","H9N2_PB1",5760.75845410628,2277,2277,100,8,"good"
"1787_d02","H9N2","H9N2_NA",9858.41025641026,1404,1404,100,8,"good"
"1787_d02","H9N2","H9N2_NP",11226.1118904476,1497,1497,100,8,"good"
"1787_d02","H9N2","H9N2_NS",14591.7777777778,864,838,103.102625298329,8,"good"
"1797_d06","H9N2","H9N2_NS",13195.7042824074,864,838,103.102625298329,8,"good"
"1797_d06","H9N2","H9N2_NP",10049.6930527722,1497,1497,100,8,"good"
"1797_d06","H9N2","H9N2_PA",4709.45583449558,2151,2151,100,8,"good"
"1797_d06","H9N2","H9N2_PB2",5303.77785087719,2280,2280,100,8,"good"
"1797_d06","H9N2","H9N2_NA",8120.39494301994,1404,1404,100,8,"good"
"1797_d06","H9N2","H9N2_PB1",5511.24681598595,2277,2277,100,8,"good"
"1797_d06","H9N2","H9N2_MP",13517.7718940937,982,982,100,8,"good"
"1797_d06","H9N2","H9N2_HA",8347.78312537136,1683,1683,100,8,"good"
"1966_d02","H9N2","H9N2_PB2",3875.54627192982,2280,2280,100,8,"good"
"1966_d02","H9N2","H9N2_NA",9045.77635327635,1404,1404,100,8,"good"
"1966_d02","H9N2","H9N2_PB1",4991.26328502415,2277,2277,100,8,"good"
"1966_d02","H9N2","H9N2_NS",15826.3200231481,864,838,103.102625298329,8,"good"
"1966_d02","H9N2","H9N2_HA",9309.42186571598,1683,1683,100,8,"good"
"1966_d02","H9N2","H9N2_MP",11171.1109979633,982,982,100,8,"good"
"1966_d02","H9N2","H9N2_PA",4636.51348210135,2151,2151,100,8,"good"
"1966_d02","H9N2","H9N2_NP",10142.0440881764,1497,1497,100,8,"good"
"1969_d02","H9N2","H9N2_MP",9784.44857433808,982,982,100,8,"good"
"1969_d02","H9N2","H9N2_NP",5781.09652638611,1497,1497,100,8,"good"
"1969_d02","H9N2","H9N2_PA",3550.21734077173,2151,2151,100,8,"good"
"1969_d02","H9N2","H9N2_NA",8048.49180911681,1404,1404,100,8,"good"
"1969_d02","H9N2","H9N2_PB2",2949.93442982456,2280,2280,100,8,"good"
"1969_d02","H9N2","H9N2_NS",17752.6371527778,864,838,103.102625298329,8,"good"
"1969_d02","H9N2","H9N2_HA",7991.28966131907,1683,1683,100,8,"good"
"1969_d02","H9N2","H9N2_PB1",3810.09354413702,2277,2277,100,8,"good"
"1981_d08","H9N2","H9N2_PB1",5692.69499341238,2277,2277,100,8,"good"
"1981_d08","H9N2","H9N2_PB2",5463.4076754386,2280,2280,100,8,"good"
