Sample,TotalReads,Primary,Secondary,Supplementary,Duplicates,Primary_Duplicates,Mapped,PercentMapped,Primary_Mapped,Paired,Read1,Read2,Properly_Paired,MateMapped,Singletons,MateMapped_DiffChr,MateMapped_DiffChr_MapQ
FCC_1787_d02_rep1,781496,757707,0,23789,0,0,781496,100,757707,757707,378851,378856,738142,757707,0,972,972
FCC_1787_d02_rep2,836712,812485,0,24227,0,0,836712,100,812485,812485,406245,406240,792507,812485,0,1109,1109
FCC_1797_d06_rep1,744669,730518,0,14151,0,0,744669,100,730518,730518,365259,365259,716226,730518,0,126,126
FCC_1797_d06_rep2,739396,728579,0,10817,0,0,739396,100,728579,728579,364292,364287,715756,728579,0,97,97
FCC_1966_d02_rep1,786257,731994,0,54263,0,0,786257,100,731994,731994,365999,365995,694307,731994,0,2501,2501
FCC_1966_d02_rep2,737518,673479,0,64039,0,0,737518,100,673479,673479,336748,336731,634808,673479,0,2978,2978
FCC_1969_d02_rep1,650713,575008,0,75705,0,0,650713,100,575008,575008,287506,287502,531792,575008,0,2348,2348
FCC_1969_d02_rep2,670537,580177,0,90360,0,0,670537,100,580177,580177,290102,290075,533424,580177,0,2636,2636
FCC_1981_d08_rep1,756358,753087,0,3271,0,0,756358,100,753087,753087,376544,376543,748109,753087,0,118,118
FCC_1981_d08_rep2,766548,763500,0,3048,0,0,766548,100,763500,763500,381751,381749,758394,763500,0,90,90
FCC_1983_d02_rep1,665193,626396,0,38797,0,0,665193,100,626396,626396,313202,313194,598419,626396,0,1162,1162
FCC_1983_d02_rep2,557928,526708,0,31220,0,0,557928,100,526708,526708,263358,263350,502966,526708,0,1077,1077
FCC_2231_d08_rep1,633738,615346,0,18392,0,0,633738,100,615346,615346,307677,307669,593061,615346,0,124,124
FCC_2231_d08_rep2,501361,489321,0,12040,0,0,501361,100,489321,489321,244657,244664,472248,489321,0,62,62
FCC_2232_d04_rep1,830474,818110,0,12364,0,0,830474,100,818110,818110,409055,409055,802547,818110,0,200,200
FCC_2232_d04_rep2,839415,825810,0,13605,0,0,839415,100,825810,825810,412909,412901,809488,825810,0,110,110
FCC_2233_d02_rep1,670670,637183,0,33487,0,0,670670,100,637183,637183,318588,318595,612457,637183,0,2016,2016
FCC_2233_d02_rep2,672095,638784,0,33311,0,0,672095,100,638784,638784,319397,319387,614648,638784,0,2023,2023
FCC_2240_d02_rep1,590266,570625,0,19641,0,0,590266,100,570625,570625,285314,285311,553333,570625,0,264,264
FCC_2240_d02_rep2,617812,597603,0,20209,0,0,617812,100,597603,597603,298804,298799,578650,597603,0,358,358
FCC_PCR_Neg_rep1,26351,26295,0,56,0,0,26351,100,26295,26295,13165,13130,24302,26295,0,0,0
FCC_PCR_Neg_rep2,102,100,0,2,0,0,102,100,100,100,50,50,94,100,0,0,0
FCC_Seq_Neg_rep1,32,32,0,0,0,0,32,100,32,32,16,16,32,32,0,0,0
FCC_Seq_Neg_rep2,28,28,0,0,0,0,28,100,28,28,14,14,28,28,0,0,0
FCC_SynRNA_10_rep1,80359,78208,0,2151,0,0,80359,100,78208,78208,39040,39168,76098,78208,0,0,0
FCC_SynRNA_10_rep2,58701,56816,0,1885,0,0,58701,100,56816,56816,28395,28421,53794,56816,0,0,0
FCC_SynRNA_2.5_rep1,82577,80705,0,1872,0,0,82577,100,80705,80705,40320,40385,78782,80705,0,2,2
FCC_SynRNA_2.5_rep2,52108,50183,0,1925,0,0,52108,100,50183,50183,25011,25172,47365,50183,0,0,0
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
