cohort,ferretID,DPI,sample,inf_route,diet,titer,log10_titer,HAI_21dpi,Ct_Mgene,resequenced
F17,1787,d02,1787_d02,Index,Obese,5.62E+04,4.749736316,320,23.56,yes
F17,1787,d04,1787_d04,Index,Obese,3.16E+02,2.499687083,320,NA,no
F17,1787,d06,1787_d06,Index,Obese,0,0,320,NA,no
F17,1787,d08,1787_d08,Index,Obese,0,0,320,33.14,yes
F17,1787,d10,1787_d10,Index,Obese,0,0,320,ND,yes
F17,1787,d12,1787_d12,Index,Obese,0,0,320,ND,yes
F17,1788,d02,1788_d02,Aerosol,Obese,0,0,0,NA,no
F17,1788,d04,1788_d04,Aerosol,Obese,0,0,0,NA,no
F17,1788,d06,1788_d06,Aerosol,Obese,0,0,0,NA,no
F17,1788,d08,1788_d08,Aerosol,Obese,0,0,0,NA,no
F17,1788,d10,1788_d10,Aerosol,Obese,0,0,0,NA,no
F17,1788,d12,1788_d12,Aerosol,Obese,0,0,0,NA,no
F17,1789,d02,1789_d02,Index,Obese,1.78E+04,4.250420002,320,23.21,yes
F17,1789,d04,1789_d04,Index,Obese,5.62E+03,3.749736316,320,27.76,yes
F17,1789,d06,1789_d06,Index,Obese,1.78E+03,3.250420002,320,NA,no
F17,1789,d08,1789_d08,Index,Obese,0,0,320,NA,no
F17,1789,d10,1789_d10,Index,Obese,0,0,320,40.42,yes
F17,1789,d12,1789_d12,Index,Obese,0,0,320,40.04,yes
F17,1790,d02,1790_d02,Aerosol,Obese,0,0,0,NA,no
F17,1790,d04,1790_d04,Aerosol,Obese,0,0,0,NA,no
F17,1790,d06,1790_d06,Aerosol,Obese,0,0,0,NA,no
F17,1790,d08,1790_d08,Aerosol,Obese,0,0,0,NA,no
F17,1790,d10,1790_d10,Aerosol,Obese,0,0,0,NA,no
F17,1790,d12,1790_d12,Aerosol,Obese,0,0,0,NA,no
F17,1793,d02,1793_d02,Contact,Obese,0,0,0,NA,no
F17,1793,d04,1793_d04,Contact,Obese,0,0,0,NA,no
F17,1793,d06,1793_d06,Contact,Obese,0,0,0,NA,no
F17,1793,d08,1793_d08,Contact,Obese,0,0,0,NA,no
F17,1793,d10,1793_d10,Contact,Obese,0,0,0,NA,no
F17,1793,d12,1793_d12,Contact,Obese,0,0,0,NA,no
F17,1794,d02,1794_d02,Contact,Obese,0,0,160,36.32,yes
F17,1794,d04,1794_d04,Contact,Obese,0,0,160,38.76,yes
F17,1794,d06,1794_d06,Contact,Obese,1.78E+04,4.250420002,160,24.1,yes
F17,1794,d08,1794_d08,Contact,Obese,1.78E+05,5.250420002,160,23.26,yes
F17,1794,d10,1794_d10,Contact,Obese,0,0,160,34.27,yes
F17,1794,d12,1794_d12,Contact,Obese,0,0,160,ND,yes
F17,1795,d02,1795_d02,Aerosol,Obese,0,0,0,NA,no
F17,1795,d04,1795_d04,Aerosol,Obese,0,0,0,NA,no
F17,1795,d06,1795_d06,Aerosol,Obese,0,0,0,NA,no
F17,1795,d08,1795_d08,Aerosol,Obese,0,0,0,NA,no
F17,1795,d10,1795_d10,Aerosol,Obese,0,0,0,NA,no
F17,1795,d12,1795_d12,Aerosol,Obese,0,0,0,NA,no
F17,1796,d02,1796_d02,Aerosol,Obese,0,0,0,NA,no
F17,1796,d04,1796_d04,Aerosol,Obese,0,0,0,NA,no
F17,1796,d06,1796_d06,Aerosol,Obese,0,0,0,NA,no
F17,1796,d08,1796_d08,Aerosol,Obese,0,0,0,NA,no
F17,1796,d10,1796_d10,Aerosol,Obese,0,0,0,NA,no
F17,1796,d12,1796_d12,Aerosol,Obese,0,0,0,NA,no
F17,1797,d02,1797_d02,Contact,Lean,0,0,320,38.4,yes
F17,1797,d04,1797_d04,Contact,Lean,0,0,320,31.46,yes
F17,1797,d06,1797_d06,Contact,Lean,3.16E+05,5.499687083,320,22.55,yes
F17,1797,d08,1797_d08,Contact,Lean,0,0,320,25.45,yes
F17,1797,d10,1797_d10,Contact,Lean,0,0,320,NA,no
F17,1797,d12,1797_d12,Contact,Lean,0,0,320,NA,no
F17,1800,d02,1800_d02,Index,Lean,5.62E+04,4.749736316,640,22.37,yes
F17,1800,d04,1800_d04,Index,Lean,5.62E+02,2.749736316,640,26.32,yes
F17,1800,d06,1800_d06,Index,Lean,0,0,640,23.39,yes
