name,coverage_cutoff,percent_cutoff,segment,segment_length,input_length,filtered_length,percentage,pass,median_coverage,mean_coverage
New_W17_1417_d06_rep1,200,0.95,H9N2_HA,1683,1683,0,0.0,NO,0.0,0.24836601307189543
New_Sp19_2254_d04_rep1,200,0.95,H9N2_HA,1683,1683,1683,1.0,YES,20258.0,18997.55614973262
New_F17_1801_d08_rep1,200,0.95,H9N2_HA,1683,1683,0,0.0,NO,0.0,0.062388591800356503
New_W17_1414_d04_rep1,200,0.95,H9N2_HA,1683,1683,1683,1.0,YES,2511.0,2408.754604872252
New_Sp19_2232_d12_rep1,200,0.95,H9N2_HA,1683,1683,1632,0.9696969696969697,YES,736.0,704.2002376708259
New_Sp19_2253_d10_rep1,200,0.95,H9N2_HA,1683,1683,137,0.0814022578728461,NO,135.0,128.26975638740345
New_W17_1416_d02_rep1,200,0.95,H9N2_HA,1683,1683,1683,1.0,YES,18423.0,17743.9679144385
New_Sp20_2867_d08_rep2,200,0.95,H9N2_HA,1683,1683,0,0.0,NO,0.0,0.5519904931669638
New_W17_1408_d06_rep1,200,0.95,H9N2_HA,1683,1683,1665,0.9893048128342246,YES,1115.0,1077.5787284610815
New_Sp19_2243_d08_rep2,200,0.95,H9N2_HA,1683,1683,1683,1.0,YES,15123.0,13529.497326203209
New_Sp19_2244_d10_rep2,200,0.95,H9N2_HA,1683,1683,0,0.0,NO,0.0,0.0
New_Sm18_1975_d04_rep1,200,0.95,H9N2_HA,1683,1683,1683,1.0,YES,18129.0,17021.571598336304
New_Sm18_1980_d08_rep2,200,0.95,H9N2_HA,1683,1683,1683,1.0,YES,18453.0,18843.986928104576
New_Sm18_1981_d04_rep1,200,0.95,H9N2_HA,1683,1683,0,0.0,NO,0.0,0.0
New_FCC_1797_d06_rep1,200,0.95,H9N2_HA,1683,1683,1683,1.0,YES,18938.0,18725.168152109327
New_Sm18_1974_d10_rep2,200,0.95,H9N2_HA,1683,1683,0,0.0,NO,1.0,0.7171717171717171
New_F17_1789_d02_rep1,200,0.95,H9N2_HA,1683,1683,1683,1.0,YES,14529.0,14674.48128342246
New_Sp19_2232_d02_rep1,200,0.95,H9N2_HA,1683,1683,1683,1.0,YES,8713.0,8129.858585858586
New_Sp19_2233_d04_rep1,200,0.95,H9N2_HA,1683,1683,1683,1.0,YES,15976.0,15308.349376114082
New_Sm18_1914_d10_rep2,200,0.95,H9N2_HA,1683,1683,0,0.0,NO,0.0,0.0
New_Sm18_1914_d10_rep1,200,0.95,H9N2_HA,1683,1683,0,0.0,NO,0.0,0.07605466428995841
New_Sm18_1970_d02_rep1,200,0.95,H9N2_HA,1683,1683,1683,1.0,YES,16792.0,15775.414735591206
New_F17_1794_d08_rep1,200,0.95,H9N2_HA,1683,1683,1683,1.0,YES,17556.0,16369.471776589424
New_F17_1800_d02_rep1,200,0.95,H9N2_HA,1683,1683,1683,1.0,YES,14608.0,14246.849673202614
