sample,ferretID,DPI,bottleneck_size,conf_int_left,conf_int_right,smallest_timepoint
1789_d02,1789,d02,52,25,110,yes
1789_d04,1789,d04,35,18,71,no
1800_d02,1800,d02,42,20,91,yes
1800_d04,1800,d04,24,11,54,no
1800_d06,1800,d06,23,12,43,no
1801_d02,1801,d02,24,11,54,yes
1801_d04,1801,d04,17,8,37,no
1910_d02,1910,d02,34,17,66,yes
1912_d02,1912,d02,81,38,164,yes
1912_d04,1912,d04,55,28,106,no
1912_d06,1912,d06,55,26,111,no
1968_d02,1968,d02,58,30,108,yes
1970_d02,1970,d02,142,62,200,yes
1972_d02,1972,d02,22,11,42,yes
1973_d02,1973,d02,79,38,156,yes
1974_d02,1974,d02,62,28,131,yes
1975_d04,1975,d04,61,30,124,yes
1975_d06,1975,d06,22,13,38,no
1977_d02,1977,d02,118,54,200,yes
1984_d02,1984,d02,142,67,200,yes
1984_d04,1984,d04,74,35,150,no
2233_d04,2233,d04,33,17,65,yes
2240_d04,2240,d04,51,26,102,yes
2251_d04,2251,d04,28,15,53,yes
2251_d06,2251,d06,50,24,105,no
2253_d04,2253,d04,42,21,86,yes
2253_d08,2253,d08,4,2,8,no
2254_d02,2254,d02,16,9,26,yes
2254_d04,2254,d04,20,12,32,no
2254_d06,2254,d06,40,21,75,no
