"name","STRAIN","segment","avg_coverage","above_cutoff","SegmentSize","percent_above","segment_count","quality"
"1408_d02","H9N2","H9N2_NP",19177.9362057448,1497,1497,100,8,"good"
"1408_d02","H9N2","H9N2_MP",17755.2387983707,982,982,100,8,"good"
"1408_d02","H9N2","H9N2_PB2",4840.69451754386,2280,2280,100,8,"good"
"1408_d02","H9N2","H9N2_PB1",8394.64119455424,2277,2277,100,8,"good"
"1408_d02","H9N2","H9N2_NA",15855.5292022792,1404,1404,100,8,"good"
"1408_d02","H9N2","H9N2_PA",9281.71478382148,2151,2151,100,8,"good"
"1408_d02","H9N2","H9N2_HA",17767.4096850862,1683,1683,100,8,"good"
"1408_d02","H9N2","H9N2_NS",26470.9618055556,864,864,100,8,"good"
"1408_d04","H9N2","H9N2_HA",16036.9019607843,1683,1683,100,8,"good"
"1408_d04","H9N2","H9N2_NS",26034.7887731481,864,864,100,8,"good"
"1408_d04","H9N2","H9N2_PB2",7422.51030701754,2280,2280,100,8,"good"
"1408_d04","H9N2","H9N2_NA",13623.3009259259,1404,1404,100,8,"good"
"1408_d04","H9N2","H9N2_PA",8928.75685727569,2151,2151,100,8,"good"
"1408_d04","H9N2","H9N2_PB1",10293.1543697848,2277,2277,100,8,"good"
"1408_d04","H9N2","H9N2_NP",17800.24749499,1497,1497,100,8,"good"
"1408_d04","H9N2","H9N2_MP",20844.7479633401,982,982,100,8,"good"
"1409_d04","H9N2","H9N2_PA",8777.23547187355,2151,2151,100,8,"good"
"1409_d04","H9N2","H9N2_HA",15484.5932857992,1683,1683,100,8,"good"
"1409_d04","H9N2","H9N2_PB2",6919.1673245614,2280,2280,100,8,"good"
"1409_d04","H9N2","H9N2_NA",13498.733974359,1404,1404,100,8,"good"
"1409_d04","H9N2","H9N2_PB1",9455.45630215195,2277,2277,100,8,"good"
"1409_d04","H9N2","H9N2_MP",19399.2138492872,982,982,100,8,"good"
"1409_d04","H9N2","H9N2_NS",23038.7361111111,864,864,100,8,"good"
"1409_d04","H9N2","H9N2_NP",18709.746492986,1497,1497,100,8,"good"
"1409_d06","H9N2","H9N2_NA",7088.71296296296,1404,1404,100,8,"good"
"1409_d06","H9N2","H9N2_NS",16966.5202546296,864,864,100,8,"good"
"1409_d06","H9N2","H9N2_MP",13685.7515274949,982,982,100,8,"good"
"1409_d06","H9N2","H9N2_NP",8525.87441549766,1497,1497,100,8,"good"
"1409_d06","H9N2","H9N2_HA",9846.40582293523,1683,1683,100,8,"good"
"1409_d06","H9N2","H9N2_PA",5548.86866573687,2151,2151,100,8,"good"
"1409_d06","H9N2","H9N2_PB1",5911.59661835749,2277,2277,100,8,"good"
"1409_d06","H9N2","H9N2_PB2",6482.80614035088,2280,2280,100,8,"good"
"1409_d08","H9N2","H9N2_PB1",12100.1161616162,2277,2277,100,8,"good"
"1409_d08","H9N2","H9N2_NS",22051.7644675926,864,864,100,8,"good"
"1409_d08","H9N2","H9N2_NA",15883.0918803419,1404,1404,100,8,"good"
"1409_d08","H9N2","H9N2_PA",13127.049511855,2151,2151,100,8,"good"
"1409_d08","H9N2","H9N2_MP",23962.3029531568,982,982,100,8,"good"
"1409_d08","H9N2","H9N2_PB2",12641.1236842105,2280,2280,100,8,"good"
"1409_d08","H9N2","H9N2_HA",18148.6779560309,1683,1683,100,8,"good"
"1409_d08","H9N2","H9N2_NP",21663.0841683367,1497,1497,100,8,"good"
"1410_d02","H9N2","H9N2_PB2",7631.35460526316,2280,2280,100,8,"good"
"1410_d02","H9N2","H9N2_MP",18148.617107943,982,982,100,8,"good"
"1410_d02","H9N2","H9N2_PA",8279.63412366341,2151,2151,100,8,"good"
"1410_d02","H9N2","H9N2_NS",24332.224537037,864,864,100,8,"good"
"1410_d02","H9N2","H9N2_NP",16944.6229124916,1497,1497,100,8,"good"
"1410_d02","H9N2","H9N2_PB1",9552.22156346069,2277,2277,100,8,"good"
"1410_d02","H9N2","H9N2_NA",12499.1018518519,1404,1404,100,8,"good"
"1410_d02","H9N2","H9N2_HA",13259.8458110517,1683,1683,100,8,"good"
"1410_d04","H9N2","H9N2_NS",17564.0763888889,864,864,100,8,"good"
"1410_d04","H9N2","H9N2_HA",6495.14289958408,1683,1683,100,8,"good"
"1410_d04","H9N2","H9N2_PA",3535.48814504881,2151,2151,100,8,"good"
"1410_d04","H9N2","H9N2_MP",11957.7067209776,982,982,100,8,"good"
"1410_d04","H9N2","H9N2_NP",8033.27822311289,1497,1497,100,8,"good"
"1410_d04","H9N2","H9N2_PB2",2513.0475877193,2280,2280,100,8,"good"
"1410_d04","H9N2","H9N2_NA",7693.22613960114,1404,1404,100,8,"good"
"1410_d04","H9N2","H9N2_PB1",4586.60496267018,2277,2277,100,8,"good"
"1410_d06","H9N2","H9N2_HA",5314.36066547831,1683,1683,100,8,"good"
"1410_d06","H9N2","H9N2_NS",12675.2424768519,864,864,100,8,"good"
"1410_d06","H9N2","H9N2_PB2",1825.9350877193,2280,2280,100,8,"good"
