cohort,ferretID,DPI,sample,diet,inf_route,titer,Ct_Mgene,gel
F17,1787,d02,1787_d02,Obese,Index,5.62E+04,23.56,good
F17,1797,d06,1797_d06,Lean,Direct,3.16E+05,23.49,good
Sm18,1966,d02,1966_d02,Lean,Index,5.62E+05,25.63,good
Sp19,2232,d04,2232_d04,Obese,Direct,3.16E+06,23.4,good
Sm18,1969,d02,1969_d02,Obese,Index,1.78E+05,21.2,bad
Sm18,1981,d08,1981_d08,Obese,Direct,1.78E+06,23.23,bad
Sm18,1983,d02,1983_d02,Obese,Index,5.62E+05,23.25,bad
Sp19,2231,d08,2231_d08,Obese,Direct,3.16E+06,24.07,bad
Sp19,2233,d02,2233_d02,Obese,Index,1.78E+07,22.08,bad
Sp19,2240,d02,2240_d02,Obese,Index,3.16E+06,24.07,bad
NA,PCR,Neg,PCR_Neg,Control,Control,NA,NA,bad
NA,SynRNA,10,SynRNA_10,Control,Control,NA,NA,good
NA,SynRNA,2.5,SynRNA_2.5,Control,Control,NA,NA,good
NA,Seq,Neg,Seq_Neg,Control,Control,NA,NA,bad
,,,,,,,,
